Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,StyleGroup
Oatmeal Stout,114,20.0,1.059,1.019,5.21,37.34,42.09,24.0,90,1.049,75.0,,0,0,,19.0,Sukkerlake,5 g sukker/l,Porter & Stout
Specialty Beer,145,20.82,1.096,1.024,9.48,112.51,40.0,11.36,60,,30.0,,0,1,,,Corn Sugar,118 grams,Specialty
American Amber Ale,4,18.93,1.075,1.009,7.5,0.0,8.48,22.71,90,,70.0,,0,0,,,,,Amber Ale
Kölsch,94,20.0,1.046,1.009,4.84,23.22,2.85,25.0,90,1.037,73.0,,0,3,1.25,16.0,,,Hybrid Ale
Witbier,175,18.93,1.051,1.012,5.22,18.67,3.67,27.78,60,1.035,68.0,1.25,0,0,0.75,20.0,,,Belgian
American IPA,7,3.79,1.058,1.011,6.1,37.06,11.45,5.68,60,1.039,55.0,1.5,0,0,0.35,18.33,,,IPA
Weizen/Weissbier,170,20.82,1.052,1.013,5.18,13.5,4.05,28.39,60,1.038,70.0,1.5,0,0,,21.11,,,Wheat Beer
Trappist Single,165,21.0,1.053,1.012,5.39,35.13,3.6,29.0,90,1.039,75.0,5.154,0,0,,20.0,,,Belgian
American IPA,7,19.87,1.064,1.015,6.47,56.62,8.23,29.34,60,1.043,70.0,1.35,0,0,,21.11,,,IPA
Blonde Ale,30,20.82,1.041,1.011,3.83,21.02,3.73,24.61,60,,70.0,,0,0,,,Corn Sugar,4.1 oz,Pale Ale
American IPA,7,21.0,1.067,1.015,6.81,69.73,5.59,25.0,70,1.053,73.0,,0,3,0.75,20.0,,,IPA
American IPA,7,18.93,1.068,1.016,6.76,0.0,6.81,18.93,60,,75.0,,0,2,,,,,IPA
Russian Imperial Stout,132,20.0,1.098,1.025,9.67,69.25,50.0,24.0,90,1.082,65.0,,0,0,1.0,18.0,Sukkerlake,5 5 g sukker/L,Porter & Stout
American Amber Ale,4,20.82,1.06,1.016,5.71,17.56,29.6,27.44,60,1.045,75.0,,0,0,1.25,20.0,corn sugar,5 oz,Amber Ale
American IPA,7,21.77,1.066,1.018,6.31,92.1,4.82,26.5,60,1.054,75.0,1.5,0,0,,18.89,,,IPA
American IPA,7,18.93,1.062,1.016,6.13,66.0,6.97,22.71,60,1.052,51.0,,0,2,,,,,IPA
Robust Porter,129,20.82,1.062,1.015,6.06,34.61,40.0,26.5,90,1.048,70.0,1.5,0,0,,19.44,,,Porter & Stout
Robust Porter,129,49.21,1.063,1.015,6.32,36.3,33.24,49.21,60,1.063,75.0,,0,0,,,,,Porter & Stout
Weizen/Weissbier,170,19.87,1.044,1.011,4.45,12.35,3.65,27.44,90,1.032,65.0,,0,3,0.75,16.67,,,Wheat Beer
American IPA,7,22.71,1.078,1.025,7.05,60.66,7.06,26.5,60,1.061,70.0,,0,3,0.5,21.11,,,IPA
Saison,134,20.82,1.072,1.013,7.66,31.43,6.24,26.5,60,1.056,70.0,,0,0,,,,,Belgian
American Brown Ale,6,11.73,1.056,1.014,5.53,0.0,18.8,15.07,90,,73.0,,0,0,,,,,Brown Ale
Specialty IPA: Black IPA,148,37.85,1.085,1.027,7.62,71.13,39.95,45.42,90,1.071,75.0,,0,0,,,,,IPA
Weizen/Weissbier,170,140.06,1.05,1.013,4.82,15.47,6.79,147.63,60,1.047,63.0,,0,0,,,,,Wheat Beer
Weizen/Weissbier,170,18.93,1.056,1.014,5.5,0.0,3.99,18.93,60,,75.0,,0,0,,,,,Wheat Beer
American IPA,7,22.71,1.062,1.012,6.51,121.43,4.26,26.5,60,1.053,70.0,1.5,0,0,,17.22,,,IPA
Sweet Stout,162,19.87,1.054,1.015,5.11,31.84,35.08,15.14,60,,70.0,,0,1,,,,,Porter & Stout
